adm2,group,phase,group_name,total_eligible
17193,3,1b,Teachers,530
17193,4,1b,First responders,174
17193,5,1c,Ppl w. significant comorbid cond.,1726
17193,6,1c,Ppl w. moderate comorbid cond.,3842
17193,7,1c,All older adults,3020
17193,8,U,Ppl in homeless shelters,32
17193,9,U,Incarcerated,30
17193,10,U,Young adults,1722
17193,11,U,Children,3092
17193,12,U,Critical risk workers-2,592
17195,0,1a,High risk workers,2010
17195,1,1a,Older adults,306
17195,2,1b,Critical risk workers-1,1592
17195,3,1b,Teachers,1465
17195,4,1b,First responders,268
17195,5,1c,Ppl w. significant comorbid cond.,6332
17195,6,1c,Ppl w. moderate comorbid cond.,14093
17195,7,1c,All older adults,11233
17195,8,U,Ppl in homeless shelters,206
17195,9,U,Incarcerated,104
17195,10,U,Young adults,7591
17195,11,U,Children,12610
17195,12,U,Critical risk workers-2,3013
17197,0,1a,High risk workers,20659
17197,1,1a,Older adults,5796
17197,2,1b,Critical risk workers-1,42059
17197,3,1b,Teachers,21282
17197,4,1b,First responders,3748
17197,5,1c,Ppl w. significant comorbid cond.,65069
17197,6,1c,Ppl w. moderate comorbid cond.,144831
17197,7,1c,All older adults,83650
17197,8,U,Ppl in homeless shelters,819
17197,9,U,Incarcerated,1853
17197,10,U,Young adults,102251
17197,11,U,Children,177161
17197,12,U,Critical risk workers-2,39561
17199,0,1a,High risk workers,4841
17199,1,1a,Older adults,1072
17199,2,1b,Critical risk workers-1,2741
17199,3,1b,Teachers,2003
17199,4,1b,First responders,253
17199,5,1c,Ppl w. significant comorbid cond.,7667
17199,6,1c,Ppl w. moderate comorbid cond.,17065
17199,7,1c,All older adults,12186
17199,8,U,Ppl in homeless shelters,195
17199,9,U,Incarcerated,397
17199,10,U,Young adults,9254
17199,11,U,Children,14744
17199,12,U,Critical risk workers-2,4653
17201,0,1a,High risk workers,20089
17201,1,1a,Older adults,3321
17201,2,1b,Critical risk workers-1,14776
17201,3,1b,Teachers,7826
17201,4,1b,First responders,1021
17201,5,1c,Ppl w. significant comorbid cond.,29188
17201,6,1c,Ppl w. moderate comorbid cond.,64968
17201,7,1c,All older adults,47426
17201,8,U,Ppl in homeless shelters,1126
17201,9,U,Incarcerated,800
17201,10,U,Young adults,42119
17201,11,U,Children,67673
17201,12,U,Critical risk workers-2,20553
17203,0,1a,High risk workers,1519
17203,1,1a,Older adults,901
17203,2,1b,Critical risk workers-1,1172
17203,3,1b,Teachers,1009
17203,4,1b,First responders,163
17203,5,1c,Ppl w. significant comorbid cond.,3799
17203,6,1c,Ppl w. moderate comorbid cond.,8456
17203,7,1c,All older adults,6561
17203,8,U,Ppl in homeless shelters,73
17203,9,U,Incarcerated,42
17203,10,U,Young adults,5228
17203,11,U,Children,9569
17203,12,U,Critical risk workers-2,1985
18001,0,1a,High risk workers,829
18001,1,1a,Older adults,745
18001,2,1b,Critical risk workers-1,1759
18001,3,1b,Teachers,920
18001,4,1b,First responders,423
18001,5,1c,Ppl w. significant comorbid cond.,3502
18001,6,1c,Ppl w. moderate comorbid cond.,7794
18001,7,1c,All older adults,5251
18001,8,U,Ppl in homeless shelters,86
18001,9,U,Incarcerated,214
18001,10,U,Young adults,5117
18001,11,U,Children,11014
18001,12,U,Critical risk workers-2,3942
18003,0,1a,High risk workers,20007
18003,1,1a,Older adults,1100
18003,2,1b,Critical risk workers-1,15001
18003,3,1b,Teachers,11035
18003,4,1b,First responders,1703
18003,5,1c,Ppl w. significant comorbid cond.,39832
18003,6,1c,Ppl w. moderate comorbid cond.,88657
18003,7,1c,All older adults,51307
18003,8,U,Ppl in homeless shelters,1950
18003,9,U,Incarcerated,2946
18003,10,U,Young adults,60262
18003,11,U,Children,96132
18003,12,U,Critical risk workers-2,37432
18005,0,1a,High risk workers,3211
18005,1,1a,Older adults,1007
18005,2,1b,Critical risk workers-1,3079
18005,3,1b,Teachers,2141
18005,4,1b,First responders,1040
18005,5,1c,Ppl w. significant comorbid cond.,8997
18005,6,1c,Ppl w. moderate comorbid cond.,20026
18005,7,1c,All older adults,12792
18005,8,U,Ppl in homeless shelters,544
18005,9,U,Incarcerated,428
18005,10,U,Young adults,12953
18005,11,U,Children,19684
18005,12,U,Critical risk workers-2,11197
18007,0,1a,High risk workers,124
18007,1,1a,Older adults,74
18007,2,1b,Critical risk workers-1,325
18007,3,1b,Teachers,372
18007,4,1b,First responders,33
18007,5,1c,Ppl w. significant comorbid cond.,997
18007,6,1c,Ppl w. moderate comorbid cond.,2220
18007,7,1c,All older adults,1485
18007,8,U,Ppl in homeless shelters,7
18007,9,U,Incarcerated,42
18007,10,U,Young adults,1140
18007,11,U,Children,2169
18007,12,U,Critical risk workers-2,568
18009,0,1a,High risk workers,435
18009,1,1a,Older adults,303
18009,2,1b,Critical risk workers-1,385
18009,3,1b,Teachers,304
18009,4,1b,First responders,168
18009,5,1c,Ppl w. significant comorbid cond.,1447
18009,6,1c,Ppl w. moderate comorbid cond.,3222
18009,7,1c,All older adults,2510
18009,8,U,Ppl in homeless shelters,4
18009,9,U,Incarcerated,143
18009,10,U,Young adults,1624
18009,11,U,Children,2580
18009,12,U,Critical risk workers-2,551
18011,0,1a,High risk workers,2356
18011,1,1a,Older adults,170
18011,2,1b,Critical risk workers-1,9645
18011,3,1b,Teachers,2028
18011,4,1b,First responders,812
18011,5,1c,Ppl w. significant comorbid cond.,5401
18011,6,1c,Ppl w. moderate comorbid cond.,12021
18011,7,1c,All older adults,8129
18011,8,U,Ppl in homeless shelters,133
18011,9,U,Incarcerated,285
18011,10,U,Young adults,8229
18011,11,U,Children,17260
18011,12,U,Critical risk workers-2,4931
18013,0,1a,High risk workers,232
18013,1,1a,Older adults,66
18013,2,1b,Critical risk workers-1,325
18013,3,1b,Teachers,377
18013,4,1b,First responders,191
18013,5,1c,Ppl w. significant comorbid cond.,1754
18013,6,1c,Ppl w. moderate comorbid cond.,3904
18013,7,1c,All older adults,3484
18013,8,U,Ppl in homeless shelters,6
18013,9,U,Incarcerated,67
18013,10,U,Young adults,1700
18013,11,U,Children,2751
18013,12,U,Critical risk workers-2,590
18015,0,1a,High risk workers,349
18015,1,1a,Older adults,834
18015,2,1b,Critical risk workers-1,633
18015,3,1b,Teachers,502
18015,4,1b,First responders,232
18015,5,1c,Ppl w. significant comorbid cond.,2311
18015,6,1c,Ppl w. moderate comorbid cond.,5144
18015,7,1c,All older adults,3755
18015,8,U,Ppl in homeless shelters,9
18015,9,U,Incarcerated,100
18015,10,U,Young adults,2560
18015,11,U,Children,4535
18015,12,U,Critical risk workers-2,1131
18017,0,1a,High risk workers,1180
18017,1,1a,Older adults,895
18017,2,1b,Critical risk workers-1,1146
18017,3,1b,Teachers,954
18017,4,1b,First responders,474
18017,5,1c,Ppl w. significant comorbid cond.,4517
18017,6,1c,Ppl w. moderate comorbid cond.,10054
18017,7,1c,All older adults,6530
18017,8,U,Ppl in homeless shelters,445
18017,9,U,Incarcerated,372
18017,10,U,Young adults,5464
18017,11,U,Children,8919
18017,12,U,Critical risk workers-2,2550
18019,0,1a,High risk workers,4958
18019,1,1a,Older adults,1600
18019,2,1b,Critical risk workers-1,8998
18019,3,1b,Teachers,3023
18019,4,1b,First responders,1477
18019,5,1c,Ppl w. significant comorbid cond.,14019
18019,6,1c,Ppl w. moderate comorbid cond.,31205
18019,7,1c,All older adults,17343
18019,8,U,Ppl in homeless shelters,363
18019,9,U,Incarcerated,724
18019,10,U,Young adults,17250
18019,11,U,Children,26465
18019,12,U,Critical risk workers-2,10402
18021,0,1a,High risk workers,858
18021,1,1a,Older adults,612
18021,2,1b,Critical risk workers-1,920
18021,3,1b,Teachers,668
18021,4,1b,First responders,296
18021,5,1c,Ppl w. significant comorbid cond.,3122
18021,6,1c,Ppl w. moderate comorbid cond.,6948
18021,7,1c,All older adults,4553
18021,8,U,Ppl in homeless shelters,63
18021,9,U,Incarcerated,161
18021,10,U,Young adults,3589
18021,11,U,Children,6055
18021,12,U,Critical risk workers-2,799
18023,0,1a,High risk workers,1238
18023,1,1a,Older adults,644
18023,2,1b,Critical risk workers-1,2872
18023,3,1b,Teachers,810
18023,4,1b,First responders,432
18023,5,1c,Ppl w. significant comorbid cond.,3523
18023,6,1c,Ppl w. moderate comorbid cond.,7842
18023,7,1c,All older adults,5161
18023,8,U,Ppl in homeless shelters,74
18023,9,U,Incarcerated,306
18023,10,U,Young adults,4591
18023,11,U,Children,8457
18023,12,U,Critical risk workers-2,1613
18025,0,1a,High risk workers,151
18025,1,1a,Older adults,351
18025,2,1b,Critical risk workers-1,214
18025,3,1b,Teachers,265
18025,4,1b,First responders,121
18025,5,1c,Ppl w. significant comorbid cond.,1382
18025,6,1c,Ppl w. moderate comorbid cond.,3075
18025,7,1c,All older adults,1998
18025,8,U,Ppl in homeless shelters,5
18025,9,U,Incarcerated,94
18025,10,U,Young adults,1318
18025,11,U,Children,2350
18025,12,U,Critical risk workers-2,322
18027,0,1a,High risk workers,1123
18027,1,1a,Older adults,471
18027,2,1b,Critical risk workers-1,2378
18027,3,1b,Teachers,866
18027,4,1b,First responders,420
18027,5,1c,Ppl w. significant comorbid cond.,3289
18027,6,1c,Ppl w. moderate comorbid cond.,7321
18027,7,1c,All older adults,4947
18027,8,U,Ppl in homeless shelters,131
18027,9,U,Incarcerated,220
18027,10,U,Young adults,5015
18027,11,U,Children,9635
18027,12,U,Critical risk workers-2,2717
18029,0,1a,High risk workers,2175
18029,1,1a,Older adults,449
18029,2,1b,Critical risk workers-1,1424
18029,3,1b,Teachers,1327
18029,4,1b,First responders,657
18029,5,1c,Ppl w. significant comorbid cond.,5416
18029,6,1c,Ppl w. moderate comorbid cond.,12055
18029,7,1c,All older adults,8186
18029,8,U,Ppl in homeless shelters,68
18029,9,U,Incarcerated,651
18029,10,U,Young adults,6756
18029,11,U,Children,11306
18029,12,U,Critical risk workers-2,2919
18031,0,1a,High risk workers,879
18031,1,1a,Older adults,561
18031,2,1b,Critical risk workers-1,1074
18031,3,1b,Teachers,665
18031,4,1b,First responders,343
18031,5,1c,Ppl w. significant comorbid cond.,2739
18031,6,1c,Ppl w. moderate comorbid cond.,6097
18031,7,1c,All older adults,4259
18031,8,U,Ppl in homeless shelters,79
18031,9,U,Incarcerated,200
18031,10,U,Young adults,3847
18031,11,U,Children,6509
18031,12,U,Critical risk workers-2,5887
18033,0,1a,High risk workers,1577
18033,1,1a,Older adults,591
18033,2,1b,Critical risk workers-1,2605
18033,3,1b,Teachers,1321
18033,4,1b,First responders,482
18033,5,1c,Ppl w. significant comorbid cond.,4161
18033,6,1c,Ppl w. moderate comorbid cond.,9262
18033,7,1c,All older adults,6612
18033,8,U,Ppl in homeless shelters,102
18033,9,U,Incarcerated,266
18033,10,U,Young adults,6194
18033,11,U,Children,10486
18033,12,U,Critical risk workers-2,3758
18035,0,1a,High risk workers,6946
18035,1,1a,Older adults,249
18035,2,1b,Critical risk workers-1,3089
18035,3,1b,Teachers,2572
18035,4,1b,First responders,1462
18035,5,1c,Ppl w. significant comorbid cond.,13243
18035,6,1c,Ppl w. moderate comorbid cond.,29475
18035,7,1c,All older adults,19153
18035,8,U,Ppl in homeless shelters,593
18035,9,U,Incarcerated,723
18035,10,U,Young adults,29960
18035,11,U,Children,21658
18035,12,U,Critical risk workers-2,9837
18037,0,1a,High risk workers,2013
18037,1,1a,Older adults,657
18037,2,1b,Critical risk workers-1,2814
18037,3,1b,Teachers,1338
18037,4,1b,First responders,485
18037,5,1c,Ppl w. significant comorbid cond.,4176
18037,6,1c,Ppl w. moderate comorbid cond.,9294
18037,7,1c,All older adults,7013
18037,8,U,Ppl in homeless shelters,132
18037,9,U,Incarcerated,171
18037,10,U,Young adults,5738
18037,11,U,Children,10475
18037,12,U,Critical risk workers-2,3437
18039,0,1a,High risk workers,9106
18039,1,1a,Older adults,3132
18039,2,1b,Critical risk workers-1,7954
18039,3,1b,Teachers,6403
18039,4,1b,First responders,774
18039,5,1c,Ppl w. significant comorbid cond.,20275
18039,6,1c,Ppl w. moderate comorbid cond.,45129
18039,7,1c,All older adults,28443
18039,8,U,Ppl in homeless shelters,807
18039,9,U,Incarcerated,2353
18039,10,U,Young adults,31273
18039,11,U,Children,56677
18039,12,U,Critical risk workers-2,46389
18041,0,1a,High risk workers,1125
18041,1,1a,Older adults,602
18041,2,1b,Critical risk workers-1,474
18041,3,1b,Teachers,576
18041,4,1b,First responders,294
18041,5,1c,Ppl w. significant comorbid cond.,3130
18041,6,1c,Ppl w. moderate comorbid cond.,6967
18041,7,1c,All older adults,4477
18041,8,U,Ppl in homeless shelters,88
18041,9,U,Incarcerated,313
18041,10,U,Young adults,3111
18041,11,U,Children,5162
18041,12,U,Critical risk workers-2,713
18043,0,1a,High risk workers,4740
18043,1,1a,Older adults,1005
18043,2,1b,Critical risk workers-1,2714
18043,3,1b,Teachers,2194
18043,4,1b,First responders,842
18043,5,1c,Ppl w. significant comorbid cond.,7462
18043,6,1c,Ppl w. moderate comorbid cond.,16609
18043,7,1c,All older adults,11706
18043,8,U,Ppl in homeless shelters,128
18043,9,U,Incarcerated,537
18043,10,U,Young adults,11356
18043,11,U,Children,17635
18043,12,U,Critical risk workers-2,5598
18045,0,1a,High risk workers,277
18045,1,1a,Older adults,320
18045,2,1b,Critical risk workers-1,634
18045,3,1b,Teachers,493
18045,4,1b,First responders,196
18045,5,1c,Ppl w. significant comorbid cond.,1868
18045,6,1c,Ppl w. moderate comorbid cond.,4159
18045,7,1c,All older adults,3181
18045,8,U,Ppl in homeless shelters,15
18045,9,U,Incarcerated,56
18045,10,U,Young adults,2164
18045,11,U,Children,3654
18045,12,U,Critical risk workers-2,766
18047,0,1a,High risk workers,476
18047,1,1a,Older adults,783
18047,2,1b,Critical risk workers-1,729
18047,3,1b,Teachers,677
18047,4,1b,First responders,252
18047,5,1c,Ppl w. significant comorbid cond.,2570
18047,6,1c,Ppl w. moderate comorbid cond.,5721
18047,7,1c,All older adults,3898
18047,8,U,Ppl in homeless shelters,26
18047,9,U,Incarcerated,185
18047,10,U,Young adults,2959
18047,11,U,Children,5416
18047,12,U,Critical risk workers-2,903
18049,0,1a,High risk workers,423
18049,1,1a,Older adults,160
18049,2,1b,Critical risk workers-1,714
18049,3,1b,Teachers,489
18049,4,1b,First responders,236
18049,5,1c,Ppl w. significant comorbid cond.,2337
18049,6,1c,Ppl w. moderate comorbid cond.,5202
18049,7,1c,All older adults,3751
18049,8,U,Ppl in homeless shelters,44
18049,9,U,Incarcerated,179
18049,10,U,Young adults,2702
18049,11,U,Children,4759
18049,12,U,Critical risk workers-2,1050
18051,0,1a,High risk workers,1197
18051,1,1a,Older adults,419
18051,2,1b,Critical risk workers-1,1716
18051,3,1b,Teachers,980
18051,4,1b,First responders,107
18051,5,1c,Ppl w. significant comorbid cond.,3682
18051,6,1c,Ppl w. moderate comorbid cond.,8196
18051,7,1c,All older adults,5661
18051,8,U,Ppl in homeless shelters,80
18051,9,U,Incarcerated,207
18051,10,U,Young adults,4740
18051,11,U,Children,7873
18051,12,U,Critical risk workers-2,11620
18053,0,1a,High risk workers,4364
18053,1,1a,Older adults,123
18053,2,1b,Critical risk workers-1,4745
18053,3,1b,Teachers,1704
18053,4,1b,First responders,958
18053,5,1c,Ppl w. significant comorbid cond.,8147
18053,6,1c,Ppl w. moderate comorbid cond.,18133
18053,7,1c,All older adults,12283
18053,8,U,Ppl in homeless shelters,253
18053,9,U,Incarcerated,678
18053,10,U,Young adults,12418
18053,11,U,Children,13914
18053,12,U,Critical risk workers-2,4073
18055,0,1a,High risk workers,752
18055,1,1a,Older adults,694
18055,2,1b,Critical risk workers-1,699
18055,3,1b,Teachers,799
18055,4,1b,First responders,395
18055,5,1c,Ppl w. significant comorbid cond.,4047
18055,6,1c,Ppl w. moderate comorbid cond.,9008
18055,7,1c,All older adults,6118
18055,8,U,Ppl in homeless shelters,14
18055,9,U,Incarcerated,191
18055,10,U,Young adults,4158
18055,11,U,Children,7143
18055,12,U,Critical risk workers-2,1279
18057,0,1a,High risk workers,15841
18057,1,1a,Older adults,802
18057,2,1b,Critical risk workers-1,7964
18057,3,1b,Teachers,9280
18057,4,1b,First responders,3916
18057,5,1c,Ppl w. significant comorbid cond.,25732
18057,6,1c,Ppl w. moderate comorbid cond.,57274
18057,7,1c,All older adults,36042
18057,8,U,Ppl in homeless shelters,573
18057,9,U,Incarcerated,690
18057,10,U,Young adults,39946
18057,11,U,Children,87908
18057,12,U,Critical risk workers-2,32404
18059,0,1a,High risk workers,1851
18059,1,1a,Older adults,876
18059,2,1b,Critical risk workers-1,2537
18059,3,1b,Teachers,1924
18059,4,1b,First responders,919
18059,5,1c,Ppl w. significant comorbid cond.,7861
18059,6,1c,Ppl w. moderate comorbid cond.,17498
18059,7,1c,All older adults,11521
18059,8,U,Ppl in homeless shelters,161
18059,9,U,Incarcerated,419
18059,10,U,Young adults,10062
18059,11,U,Children,17457
18059,12,U,Critical risk workers-2,5446
18061,0,1a,High risk workers,863
18061,1,1a,Older adults,571
18061,2,1b,Critical risk workers-1,1178
18061,3,1b,Teachers,1116
18061,4,1b,First responders,485
18061,5,1c,Ppl w. significant comorbid cond.,4673
18061,6,1c,Ppl w. moderate comorbid cond.,10402
18061,7,1c,All older adults,6707
18061,8,U,Ppl in homeless shelters,93
18061,9,U,Incarcerated,285
18061,10,U,Young adults,5182
18061,11,U,Children,8939
18061,12,U,Critical risk workers-2,2006
18063,0,1a,High risk workers,6019
18063,1,1a,Older adults,1717
18063,2,1b,Critical risk workers-1,16158
18063,3,1b,Teachers,4131
18063,4,1b,First responders,480
18063,5,1c,Ppl w. significant comorbid cond.,15415
18063,6,1c,Ppl w. moderate comorbid cond.,34311
18063,7,1c,All older adults,20870
18063,8,U,Ppl in homeless shelters,300
18063,9,U,Incarcerated,1027
18063,10,U,Young adults,21682
18063,11,U,Children,41179
18063,12,U,Critical risk workers-2,13499
18065,0,1a,High risk workers,1706
18065,1,1a,Older adults,397
18065,2,1b,Critical risk workers-1,1516
18065,3,1b,Teachers,1269
18065,4,1b,First responders,618
18065,5,1c,Ppl w. significant comorbid cond.,5953
18065,6,1c,Ppl w. moderate comorbid cond.,13250
18065,7,1c,All older adults,8878
18065,8,U,Ppl in homeless shelters,143
18065,9,U,Incarcerated,447
18065,10,U,Young adults,7134
18065,11,U,Children,10017
18065,12,U,Critical risk workers-2,2100
18067,0,1a,High risk workers,3046
18067,1,1a,Older adults,107
18067,2,1b,Critical risk workers-1,2693
18067,3,1b,Teachers,2359
18067,4,1b,First responders,1148
18067,5,1c,Ppl w. significant comorbid cond.,8871
18067,6,1c,Ppl w. moderate comorbid cond.,19744
18067,7,1c,All older adults,15344
18067,8,U,Ppl in homeless shelters,325
18067,9,U,Incarcerated,753
18067,10,U,Young adults,11650
18067,11,U,Children,18690
18067,12,U,Critical risk workers-2,15213
18069,0,1a,High risk workers,1441
18069,1,1a,Older adults,72
18069,2,1b,Critical risk workers-1,1498
18069,3,1b,Teachers,952
18069,4,1b,First responders,454
18069,5,1c,Ppl w. significant comorbid cond.,3924
18069,6,1c,Ppl w. moderate comorbid cond.,8733
18069,7,1c,All older adults,5986
18069,8,U,Ppl in homeless shelters,128
18069,9,U,Incarcerated,415
18069,10,U,Young adults,5777
18069,11,U,Children,7918
18069,12,U,Critical risk workers-2,2780
18071,0,1a,High risk workers,1262
18071,1,1a,Older adults,480
18071,2,1b,Critical risk workers-1,1467
18071,3,1b,Teachers,1106
18071,4,1b,First responders,591
18071,5,1c,Ppl w. significant comorbid cond.,5574
18071,6,1c,Ppl w. moderate comorbid cond.,12406
18071,7,1c,All older adults,6878
18071,8,U,Ppl in homeless shelters,113
18071,9,U,Incarcerated,431
18071,10,U,Young adults,5950
18071,11,U,Children,10814
18071,12,U,Critical risk workers-2,2886
18073,0,1a,High risk workers,1014
18073,1,1a,Older adults,399
18073,2,1b,Critical risk workers-1,2449
18073,3,1b,Teachers,875
18073,4,1b,First responders,417
18073,5,1c,Ppl w. significant comorbid cond.,3590
18073,6,1c,Ppl w. moderate comorbid cond.,7991
18073,7,1c,All older adults,5642
18073,8,U,Ppl in homeless shelters,53
18073,9,U,Incarcerated,138
18073,10,U,Young adults,4962
18073,11,U,Children,7984
18073,12,U,Critical risk workers-2,2848
18075,0,1a,High risk workers,724
18075,1,1a,Older adults,127
18075,2,1b,Critical risk workers-1,511
18075,3,1b,Teachers,457
18075,4,1b,First responders,283
18075,5,1c,Ppl w. significant comorbid cond.,2387
18075,6,1c,Ppl w. moderate comorbid cond.,5313
18075,7,1c,All older adults,3593
18075,8,U,Ppl in homeless shelters,57
18075,9,U,Incarcerated,295
18075,10,U,Young adults,2973
18075,11,U,Children,5439
18075,12,U,Critical risk workers-2,921
18077,0,1a,High risk workers,1255
18077,1,1a,Older adults,719
18077,2,1b,Critical risk workers-1,1079
18077,3,1b,Teachers,874
18077,4,1b,First responders,386
18077,5,1c,Ppl w. significant comorbid cond.,3453
18077,6,1c,Ppl w. moderate comorbid cond.,7685
18077,7,1c,All older adults,5426
18077,8,U,Ppl in homeless shelters,70
18077,9,U,Incarcerated,402
18077,10,U,Young adults,5206
18077,11,U,Children,6718
18077,12,U,Critical risk workers-2,2040
18079,0,1a,High risk workers,911
18079,1,1a,Older adults,486
18079,2,1b,Critical risk workers-1,542
18079,3,1b,Teachers,767
18079,4,1b,First responders,353
18079,5,1c,Ppl w. significant comorbid cond.,3394
18079,6,1c,Ppl w. moderate comorbid cond.,7554
18079,7,1c,All older adults,4345
18079,8,U,Ppl in homeless shelters,98
18079,9,U,Incarcerated,250
18079,10,U,Young adults,4104
18079,11,U,Children,6509
18079,12,U,Critical risk workers-2,1017
18081,0,1a,High risk workers,6318
18081,1,1a,Older adults,1579
18081,2,1b,Critical risk workers-1,7427
18081,3,1b,Teachers,4411
18081,4,1b,First responders,418
18081,5,1c,Ppl w. significant comorbid cond.,15505
18081,6,1c,Ppl w. moderate comorbid cond.,34511
18081,7,1c,All older adults,21500
18081,8,U,Ppl in homeless shelters,347
18081,9,U,Incarcerated,898
18081,10,U,Young adults,22741
18081,11,U,Children,38017
18081,12,U,Critical risk workers-2,12927
18083,0,1a,High risk workers,1830
18083,1,1a,Older adults,410
18083,2,1b,Critical risk workers-1,1706
18083,3,1b,Teachers,863
18083,4,1b,First responders,115
18083,5,1c,Ppl w. significant comorbid cond.,4476
18083,6,1c,Ppl w. moderate comorbid cond.,9963
18083,7,1c,All older adults,6384
18083,8,U,Ppl in homeless shelters,82
18083,9,U,Incarcerated,299
18083,10,U,Young adults,6876
18083,11,U,Children,8082
18083,12,U,Critical risk workers-2,3093
18085,0,1a,High risk workers,3081
18085,1,1a,Older adults,1163
18085,2,1b,Critical risk workers-1,2428
18085,3,1b,Teachers,2076
18085,4,1b,First responders,976
18085,5,1c,Ppl w. significant comorbid cond.,8033
18085,6,1c,Ppl w. moderate comorbid cond.,17880
18085,7,1c,All older adults,12443
18085,8,U,Ppl in homeless shelters,237
18085,9,U,Incarcerated,478
18085,10,U,Young adults,12294
18085,11,U,Children,19168
18085,12,U,Critical risk workers-2,5132
18087,0,1a,High risk workers,1047
18087,1,1a,Older adults,370
18087,2,1b,Critical risk workers-1,889
18087,3,1b,Teachers,1012
18087,4,1b,First responders,464
18087,5,1c,Ppl w. significant comorbid cond.,3567
18087,6,1c,Ppl w. moderate comorbid cond.,7939
18087,7,1c,All older adults,5153
18087,8,U,Ppl in homeless shelters,59
18087,9,U,Incarcerated,161
18087,10,U,Young adults,5982
18087,11,U,Children,12820
18087,12,U,Critical risk workers-2,5166
18089,0,1a,High risk workers,27483
18089,1,1a,Older adults,4597
18089,2,1b,Critical risk workers-1,20372
18089,3,1b,Teachers,14277
18089,4,1b,First responders,6728
18089,5,1c,Ppl w. significant comorbid cond.,58439
18089,6,1c,Ppl w. moderate comorbid cond.,130074
18089,7,1c,All older adults,76230
18089,8,U,Ppl in homeless shelters,1137
18089,9,U,Incarcerated,2618
18089,10,U,Young adults,72770
18089,11,U,Children,116340
18089,12,U,Critical risk workers-2,36132
18091,0,1a,High risk workers,4095
18091,1,1a,Older adults,636
18091,2,1b,Critical risk workers-1,4058
18091,3,1b,Teachers,2848
18091,4,1b,First responders,1412
18091,5,1c,Ppl w. significant comorbid cond.,14108
18091,6,1c,Ppl w. moderate comorbid cond.,31401
18091,7,1c,All older adults,18574
18091,8,U,Ppl in homeless shelters,240
18091,9,U,Incarcerated,956
18091,10,U,Young adults,16595
18091,11,U,Children,24035
18091,12,U,Critical risk workers-2,7747
18093,0,1a,High risk workers,2066
18093,1,1a,Older adults,463
18093,2,1b,Critical risk workers-1,1423
18093,3,1b,Teachers,1099
18093,4,1b,First responders,596
18093,5,1c,Ppl w. significant comorbid cond.,5143
18093,6,1c,Ppl w. moderate comorbid cond.,11447
18093,7,1c,All older adults,8779
18093,8,U,Ppl in homeless shelters,121
18093,9,U,Incarcerated,308
18093,10,U,Young adults,5902
18093,11,U,Children,10110
18093,12,U,Critical risk workers-2,2454
18095,0,1a,High risk workers,5576
18095,1,1a,Older adults,571
18095,2,1b,Critical risk workers-1,5658
18095,3,1b,Teachers,3478
18095,4,1b,First responders,495
18095,5,1c,Ppl w. significant comorbid cond.,16956
18095,6,1c,Ppl w. moderate comorbid cond.,37740
18095,7,1c,All older adults,22817
18095,8,U,Ppl in homeless shelters,444
18095,9,U,Incarcerated,2285
18095,10,U,Young adults,19284
18095,11,U,Children,28419
18095,12,U,Critical risk workers-2,8293
18097,0,1a,High risk workers,89813
18097,1,1a,Older adults,7107
18097,2,1b,Critical risk workers-1,73899
18097,3,1b,Teachers,24371
18097,4,1b,First responders,16577
18097,5,1c,Ppl w. significant comorbid cond.,95836
18097,6,1c,Ppl w. moderate comorbid cond.,213313
18097,7,1c,All older adults,113355
18097,8,U,Ppl in homeless shelters,2791
18097,9,U,Incarcerated,7911
18097,10,U,Young adults,173130
18097,11,U,Children,234068
18097,12,U,Critical risk workers-2,91588
18099,0,1a,High risk workers,1403
18099,1,1a,Older adults,689
18099,2,1b,Critical risk workers-1,1557
18099,3,1b,Teachers,1922
18099,4,1b,First responders,575
18099,5,1c,Ppl w. significant comorbid cond.,5243
18099,6,1c,Ppl w. moderate comorbid cond.,11670
18099,7,1c,All older adults,7936
18099,8,U,Ppl in homeless shelters,165
18099,9,U,Incarcerated,236
18099,10,U,Young adults,6585
18099,11,U,Children,11750
18099,12,U,Critical risk workers-2,2632
18101,0,1a,High risk workers,125
18101,1,1a,Older adults,224
18101,2,1b,Critical risk workers-1,332
18101,3,1b,Teachers,256
18101,4,1b,First responders,104
18101,5,1c,Ppl w. significant comorbid cond.,1231
18101,6,1c,Ppl w. moderate comorbid cond.,2741
18101,7,1c,All older adults,1885
18101,8,U,Ppl in homeless shelters,19
18101,9,U,Incarcerated,97
18101,10,U,Young adults,1379
18101,11,U,Children,2296
18101,12,U,Critical risk workers-2,474
18103,0,1a,High risk workers,1079
18103,1,1a,Older adults,1012
18103,2,1b,Critical risk workers-1,1096
18103,3,1b,Teachers,854
18103,4,1b,First responders,421
18103,5,1c,Ppl w. significant comorbid cond.,4433
18103,6,1c,Ppl w. moderate comorbid cond.,9867
18103,7,1c,All older adults,6081
18103,8,U,Ppl in homeless shelters,32
18103,9,U,Incarcerated,256
18103,10,U,Young adults,5595
18103,11,U,Children,7721
18103,12,U,Critical risk workers-2,1557
18105,0,1a,High risk workers,7789
18105,1,1a,Older adults,440
18105,2,1b,Critical risk workers-1,3705
18105,3,1b,Teachers,2924
18105,4,1b,First responders,496
18105,5,1c,Ppl w. significant comorbid cond.,12962
18105,6,1c,Ppl w. moderate comorbid cond.,28851
18105,7,1c,All older adults,17779
18105,8,U,Ppl in homeless shelters,391
18105,9,U,Incarcerated,809
